Phylum,Class,Order,Family,Genus,Species
Arthropoda,Malacostraca,Tanaidacea,Apseudidae,Apseudes,bermudeus
Arthropoda,Malacostraca,Tanaidacea,Apseudidae,Apseudes,orghidani
Arthropoda,Malacostraca,Isopoda,Cirolanidae,Arubolana,aruboides
Arthropoda,Malacostraca,Isopoda,Atlantasellidae,Atlantasellus,cavernicolus
Arthropoda,Malacostraca,Decapoda,Hippolytidae,Barbouria,cubensis
Arthropoda,Malacostraca,Decapoda,Alpheidae,Bermudacaris,harti
Arthropoda,Malacostraca,Amphipoda,Bogidiellidae,Bermudagidiella,bermudensis
Arthropoda,Malacostraca,Mysidacea,Mysidae,Bermudamysis,speluncola
Arthropoda,Malacostraca,Isopoda,Paranthuridae,Curassanthura,bermudensis
Arthropoda,Copepoda,Calanoida,Epacteriscidae,Erebonectes,nesioticus
Arthropoda,Malacostraca,Amphipoda,Amphilochidae,Gitanopsis,petulans
Arthropoda,Malacostraca,Amphipoda,Ingolfiellidae,Ingolfiella,longipes
Arthropoda,Malacostraca,Decapoda,Hippolytidae,Janicea,antiguensis
Arthropoda,Malacostraca,Mictacea,Mictocarididae,Mictocaris,halope
Arthropoda,Malacostraca,Decapoda,Hippolytidae,Parhippolyte,sterreri
Arthropoda,Malacostraca,Mysidacea,Mysidae,Platyops,sterreri
Arthropoda,Malacostraca,Decapoda,Procarididae,Procaris,chacei
Arthropoda,Malacostraca,Amphipoda,Pseudoniphargidae,Pseudoniphargus,carpalis
Arthropoda,Malacostraca,Amphipoda,Pseudoniphargidae,Pseudoniphargus,grandimanus
Arthropoda,Malacostraca,Cumacea,Nannastacidae,Schizotrema,agglutinanta
Arthropoda,Malacostraca,Cumacea,Nannastacidae,Schizotrema,wittmanni
Arthropoda,Malacostraca,Isopoda,Gnathostenetroididae,Stenobermuda,iliffei
Arthropoda,Malacostraca,Decapoda,Atyidae,Typhlatya,iliffei
