Taxon,Taxon Aphia ID,Soniferous Category,Reference Aphia ID,Notes
Aapticheilichthys websteri,1026895,Does not or is unlikely to produce sound under natural conditions,452075,
Aaptosyax grypus,1011282,Likely to produce sound under natural conditions but unconfirmed,452075,
Abactochromis labrosus,1015413,Likely to produce sound under natural conditions but unconfirmed,452075,
Abalistes filamentosus,276793,Likely to produce sound under natural conditions but unconfirmed,452075,
Abalistes stellatus,219873,Likely to produce sound under natural conditions but unconfirmed,452075,
Abantennarius analis,315963,Does not or is unlikely to produce sound under natural conditions,452075,
Abantennarius bermudensis,1605257,Does not or is unlikely to produce sound under natural conditions,452075,
Abantennarius coccineus,1605256,Does not or is unlikely to produce sound under natural conditions,452075,
Abantennarius dorehensis,1605258,Does not or is unlikely to produce sound under natural conditions,452075,
Abantennarius drombus,1605261,Does not or is unlikely to produce sound under natural conditions,452075,
Abantennarius duescus,1605259,Does not or is unlikely to produce sound under natural conditions,452075,
Abantennarius nummifer,1605260,Does not or is unlikely to produce sound under natural conditions,452075,
Abantennarius rosaceus,1592359,Does not or is unlikely to produce sound under natural conditions,452075,
Abantennarius sanguineus,1592389,Does not or is unlikely to produce sound under natural conditions,452075,
Abbottina binhi,1009901,Likely to produce sound under natural conditions but unconfirmed,452075,
Abbottina lalinensis,1010783,Likely to produce sound under natural conditions but unconfirmed,452075,
Abbottina liaoningensis,1011633,Likely to produce sound under natural conditions but unconfirmed,452075,
Abbottina obtusirostris,1015800,Likely to produce sound under natural conditions but unconfirmed,452075,
Abbottina rivularis,1018726,Likely to produce sound under natural conditions but unconfirmed,452075,
Ablennes hians,159246,Likely to produce sound under natural conditions but unconfirmed,452075,
Aboma etheostoma,293673,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys barapensis,1536337,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys cataracta,1384802,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys elongatus,1016819,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys garoensis,1016322,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys iphipaniensis,1494023,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys kailashi,1493115,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys kempi,1017361,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys pangensis,1493116,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys rosammai,1008159,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys tikaderi,1011940,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys verticauda,1007149,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys waikhomi,1384673,Likely to produce sound under natural conditions but unconfirmed,452075,
Abramis brama,154281,Produces passive sound under natural conditions,452049,
Abramis parsa,405807,Likely to produce sound under natural conditions but unconfirmed,452075,
Abramites eques,1020154,Likely to produce sound under natural conditions but unconfirmed,452075,
Abramites hypselonotus,1015381,Likely to produce sound under natural conditions but unconfirmed,452075,
Abudefduf abdominalis,254879,Produces active and passive sound under natural conditions,452140,
Abudefduf bengalensis,212885,Likely to produce sound under natural conditions but unconfirmed,452075,
Abudefduf concolor,273696,Likely to produce sound under natural conditions but unconfirmed,452075,
Abudefduf conformis,273697,Likely to produce sound under natural conditions but unconfirmed,452075,
Abudefduf declivifrons,273698,Likely to produce sound under natural conditions but unconfirmed,452075,
Abudefduf hoefleri,273699,Likely to produce sound under natural conditions but unconfirmed,452075,
Abudefduf lorenzi,273700,Likely to produce sound under natural conditions but unconfirmed,452075,
Abudefduf margariteus,212881,Likely to produce sound under natural conditions but unconfirmed,452075,
Abudefduf natalensis,212871,Likely to produce sound under natural conditions but unconfirmed,452075,
Abudefduf nigrimargo,1524307,Likely to produce sound under natural conditions but unconfirmed,452075,
Abudefduf notatus,212870,Likely to produce sound under natural conditions but unconfirmed,452075,
Abudefduf saxatilis,159288,Produces active sound under natural conditions,452136,
Abudefduf septemfasciatus,212878,Likely to produce sound under natural conditions but unconfirmed,452075,
Abudefduf sexfasciatus,159289,Likely to produce sound under natural conditions but unconfirmed,452075,
Abudefduf sordidus,212888,Produces active sound under natural conditions,451893,
Abudefduf sparoides,212862,Likely to produce sound under natural conditions but unconfirmed,452075,
Abudefduf taurus,273701,Likely to produce sound under natural conditions but unconfirmed,452075,
Abudefduf troschelii,273702,Likely to produce sound under natural conditions but unconfirmed,452075,
Abudefduf vaigiensis,212879,Produces active sound under natural conditions,451963,
Abudefduf whitleyi,273703,Likely to produce sound under natural conditions but unconfirmed,452075,
Abyssoberyx levisquamosus,398430,Does not or is unlikely to produce sound under natural conditions,452075,
Abyssobrotula galatheae,236126,Likely to produce sound under natural conditions but unconfirmed,452075,
Abyssobrotula hadropercularis,1493117,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthaluteres brownii,279462,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthaluteres spilomelanurus,279463,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthaluteres vittiger,279464,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthanectes hystrix,219172,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthanectes rufus,219171,Does not or is unlikely to produce sound under natural conditions,452075,
Acantharchus pomotis,293694,Produces active sound under natural conditions,452036,
Acanthemblemaria aceroi,1493120,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria aspera,279443,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria atrata,279444,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria balanorum,279445,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria betinensis,279446,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria castroi,279447,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria chaplini,279448,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria crockeri,279449,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria exilispinus,279450,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria greenfieldi,279451,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria hancocki,279452,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria harpeza,279453,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria hastingsi,712821,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria johnsoni,279454,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria macrospilus,279455,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria mangognatha,279456,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria maria,279457,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria medusa,279458,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria paula,279459,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria rivasi,279460,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria spinosa,254883,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthemblemaria stephensi,279461,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthicus adonis,1383932,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthicus hystrix,1022676,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthobrama centisquama,279405,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthobrama hadiyahensis,1012114,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthobrama lissneri,1013097,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthobrama marmid,279406,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthobrama microlepis,1020219,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthobrama orontis,1014264,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthobrama persidis,1012346,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthobrama telavivensis,236128,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthobrama thisbeae,1007095,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthobrama tricolor,238078,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthobrama urmianus,1018992,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthobunocephalus nicoi,1010242,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthobunocephalus scruggsi,1493121,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthocepola abbreviata,278762,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthocepola indica,218873,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthocepola krusensternii,278763,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthocepola limbata,278764,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthochaenus luetkenii,127280,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthocharax microlepis,1017510,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthochromis polyacanthus,279469,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthocleithron chapini,1383179,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthoclinus fuscus,279470,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthoclinus littoreus,279471,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthoclinus marilynae,279472,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthoclinus matti,279473,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthoclinus rua,279474,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthocobitis botia,1026425,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthocobitis mooreh,1026429,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthocobitis pavonacea,1022515,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthocobitis pictilis,1007660,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthocobitis rubidipinnis,1021246,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthocobitis urophthalmus,1020689,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthocybium solandri,127014,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthodoras cataphractus,1021601,Likely to produce sound under natural conditions but unconfirmed,451886,
Acanthodoras depressus,1019981,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthodoras spinosissimus,1019764,Likely to produce sound under natural conditions but unconfirmed,451886,
Acanthogobio guentheri,1019534,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthogobius elongatus,1014667,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthogobius flavimanus,279475,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthogobius hasta,279476,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthogobius insularis,1010684,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthogobius lactipes,279477,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthogobius luridus,279478,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthogobius stigmothonus,1460852,Likely to produce sound under natural conditions but unconfirmed,452075,
Acantholabrus palloni,126957,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthonus armatus,158998,Likely to produce sound under natural conditions but unconfirmed,452074,
Acanthopagrus akazakii,279069,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopagrus arabicus,835123,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopagrus australis,279070,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopagrus berda,218588,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopagrus bifasciatus,218589,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopagrus butcheri,279071,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopagrus catenula,758011,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopagrus chinshira,398543,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopagrus datnia,313008,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopagrus latus,218587,Likely to produce sound under natural conditions but unconfirmed,452075,
